"x","y","des","area","slope","soil","lucl","Pa","Pe","CN"
248027.3761,1808118.4014,1,350.851409912109,0.724200010299683,1,3,5.36889982223511,227.338394165039,79
248052.3761,1808128.4014,1,335.417999267578,0.726400017738342,1,3,5.36880016326904,227.338394165039,79
248037.3761,1808173.4014,1,244.961395263672,0.616800010204315,1,3,5.36889982223511,227.338394165039,79
248067.3761,1808288.4014,1,222.694793701172,0.697399973869324,1,3,5.36889982223511,227.338394165039,79
249077.3761,1808508.4014,1,218.882598876953,0.691399991512299,1,3,5.36700010299683,227.338394165039,79
248172.3761,1808338.4014,1,173.946792602539,0.674600005149841,1,3,5.3685998916626,227.338394165039,79
248207.3761,1808368.4014,1,313.651214599609,0.635900020599365,1,3,5.36850023269653,227.338394165039,79
248162.3761,1808173.4014,1,403.8203125,0.554799973964691,1,3,5.36850023269653,227.338394165039,79
248137.3761,1808163.4014,1,335.35888671875,0.602999985218048,1,3,5.3685998916626,227.338394165039,79
248142.3761,1808158.4014,1,322.683807373047,0.561500012874603,1,3,5.3685998916626,227.338394165039,79
247657.3761,1808128.4014,1,176.308898925781,0.592299997806549,1,3,5.36889982223511,227.338394165039,78.9942016601562
248222.3761,1809183.4014,1,235.632400512695,0.756500005722046,1,3,5.36880016326904,227.338394165039,79
248112.3761,1809143.4014,1,123.224197387695,0.720399975776672,1,3,5.36940002441406,227.338394165039,79
248087.3761,1809213.4014,1,209.714599609375,0.737800002098083,1,3,5.36969995498657,227.338394165039,79
248117.3761,1809233.4014,1,585.995178222656,0.652599990367889,1,3,5.36969995498657,227.338394165039,79
251102.3761,1811413.4014,1,71.2655029296875,0.372399985790253,1,3,5.38210010528564,227.338394165039,79
251032.3761,1811608.4014,1,103.83390045166,0.615800023078918,1,3,5.38770008087158,227.338394165039,79
249902.3761,1811338.4014,1,337.772003173828,0.572899997234344,1,3,5.39970016479492,227.338394165039,79
250062.3761,1810968.4014,1,519.56982421875,0.735000014305115,1,3,5.38009977340698,227.338394165039,81.9154968261719
250057.3761,1811013.4014,1,276.719207763672,0.624499976634979,1,1,5.38089990615845,227.338394165039,74.4882965087891
249087.3761,1808508.4014,1,203.237106323242,0.6875,1,3,5.36700010299683,227.338394165039,79
249602.3761,1810318.4014,1,198.32209777832,0.781300008296967,1,3,5.37169981002808,227.338394165039,79
249582.3761,1810368.4014,1,337.200805664062,0.581499993801117,1,3,5.37209987640381,227.338394165039,79
249782.3761,1810468.4014,1,26.7702007293701,0.151099994778633,1,1,5.37319993972778,227.338394165039,73
249792.3761,1810378.4014,1,184.020904541016,0.661700010299683,1,3,5.37239980697632,227.338394165039,76.1513977050781
249922.3761,1810438.4014,1,187.595794677734,0.673799991607666,1,1,5.37290000915527,227.338394165039,73
250387.3761,1810503.4014,1,1237.46643066406,0.780700027942657,1,3,5.37270021438599,227.338394165039,80.4632034301758
250367.3761,1810478.4014,1,464.285095214844,0.73879998922348,1,3,5.37230014801025,227.338394165039,82.6645965576172
250387.3761,1810613.4014,1,365.864990234375,0.520699977874756,1,5,5.3737998008728,227.338394165039,78.5996017456055
250382.3761,1810578.4014,1,413.908386230469,0.630100011825562,1,3,5.37360000610352,227.338394165039,78.0842971801758
249102.3761,1808563.4014,1,159.912994384766,0.482199996709824,1,3,5.36700010299683,227.338394165039,79
250362.3761,1810523.4014,1,1381.84545898438,0.622099995613098,1,3,5.37309980392456,227.338394165039,77.9598007202148
250647.3761,1810833.4014,1,200.641693115234,0.461400002241135,1,5,5.37470006942749,227.338394165039,77.0628967285156
