x,y,des,area,slope,soil,lucl,Pa,Pe,CN
249067.3761,1820838.401,1,63.71239853,0.177200004,1,1,6.230700016,265.944397,73
252697.3761,1809438.401,1,44.06299973,0.651799977,1,3,5.283899784,299.3677979,79
252627.3761,1809498.401,1,306.234314,0.730499983,1,3,5.289299965,299.0871887,79
248022.3761,1819203.401,1,193.7870941,0.609200001,1,3,6.174499989,270.5725098,79
252577.3761,1809428.401,1,67.86810303,0.515399992,1,3,5.289599895,298.9881897,79
252167.3761,1809503.401,1,207.0718994,0.472799987,1,3,5.309400082,297.7109985,79
251917.3761,1809753.401,1,177.5706024,0.483999997,1,3,5.338799953,297.1113892,79
248797.3761,1806763.401,1,262.2323914,0.67869997,3,6,5.348599911,293.7255859,77.57800293
248902.3761,1808408.401,1,174.8914032,0.686500013,1,3,5.367099762,292.1690063,79
248892.3761,1806928.401,1,46.10910034,0.1118,3,1,5.351699829,293.5169983,59
248657.3761,1807263.401,1,115.0856018,0.449400008,1,3,5.35860014,293.1990967,79
248852.3761,1807473.401,1,211.5095978,0.600899994,1,3,5.360799789,292.9453125,79
248737.3761,1807693.401,1,333.0624084,0.681500018,1,3,5.363299847,292.7489929,79
248802.3761,1807823.401,1,137.7332001,0.489499986,1,3,5.364099979,292.6152039,79
248867.3761,1808383.401,1,381.6781921,0.747200012,1,3,5.367099762,292.1805115,79
248927.3761,1808393.401,1,207.1172943,0.726499975,1,3,5.367099762,292.1748962,79
249052.3761,1808778.401,1,192.9812012,0.422800004,1,3,5.367000103,291.9833984,79
249212.3761,1808788.401,1,71.85849762,0.584800005,1,3,5.367000103,292.0104065,79
247412.3761,1808588.401,1,193.2333984,0.635100007,1,3,5.374199867,293.2438049,79
247212.3761,1808793.401,1,112.6585999,0.430900007,1,3,5.377799988,293.5125122,79
253602.3761,1819078.401,1,11668.19531,0.339399993,1,3,5.706399918,304.1411133,78.876297
247197.3761,1809108.401,1,80.06259918,0.720499992,1,3,5.379700184,293.5046997,79
247792.3761,1808113.401,1,188.0885925,0.724799991,1,3,5.368700027,292.9932861,79
247782.3761,1808223.401,1,302.7781067,0.695200026,1,3,5.369999886,292.9706116,79
253072.3761,1816428.401,1,147.6381073,0.678499997,1,3,5.564599991,302.2381897,79
247022.3761,1813133.401,1,126.2974014,0.373199999,1,3,5.579199791,297.324707,79
247182.3761,1813118.401,1,159.2010956,0.560199976,1,3,5.574100018,297.1617126,79
246547.3761,1812593.401,1,85.4713974,0.409399986,1,3,5.552000046,297.8760071,79.01889801
246597.3761,1812588.401,1,213.2339935,0.546800017,1,3,5.550700188,297.8198853,79.0019989
246782.3761,1812758.401,1,210.0243073,0.625800014,1,3,5.558700085,297.6148071,79.06700134
250202.3761,1820398.401,1,25,0.126300007,2,3,6.195300102,268.8664856,79
246842.3761,1812808.401,1,449.7182007,0.673699975,1,3,5.560800076,297.5714111,79.0059967
246887.3761,1812858.401,1,131.9313965,0.482199997,1,3,5.561800003,297.5,79.00009918
246937.3761,1812868.401,1,68.49559784,0.395300001,1,3,5.560800076,297.4336853,79
255917.3761,1818388.401,1,309.1936035,0.611199975,2,1,5.344900131,324.0389099,73.04730225
246352.3761,1813018.401,1,224.5028076,0.388900012,1,6,5.585199833,298.2052002,96
246357.3761,1812963.401,1,231.5727997,0.752200007,1,3,5.582799911,298.197113,90.60900116
246257.3761,1812948.401,1,146.6580963,0.499799997,1,6,5.583600044,298.3293152,96
246297.3761,1812953.401,1,157.3199005,0.585500002,1,6,5.583199978,298.2767944,96
246242.3761,1812908.401,1,222.381897,0.68870002,1,3,5.582399845,298.3710022,90.63439941
246317.3761,1813183.401,1,676.0070801,0.598200023,1,3,5.603300095,298.3268127,76.52120209
246142.3761,1812878.401,1,235.5505066,0.598800004,1,6,5.582900047,298.5239868,95.96829987
256407.3761,1818518.401,1,352.3528137,0.634500027,2,3,5.297399998,328.0537109,79
